#{"t_start": 1702337845.159369, "env_id": "ContactProcess"}
r,l,t
-100765.782468,65,1.038043
-28994.250636,18,1.129396
-82374.503276,50,1.249356
-57879.798316,37,1.361112
-92975.655794,58,1.501294
-38990.422617,24,1.597328
-21195.075559,13,1.753786
-106276.619793,65,1.886666
-293185.259811,186,2.130234
-14298.188651,9,2.217611
-70078.978431,46,2.340271
-172328.269274,110,2.511686
-206108.911009,134,2.713066
-274065.598971,179,2.951488
-125655.1361,80,3.105628
-93968.75773,62,3.23635
-151942.614717,96,3.402373
-88960.481351,57,3.537186
-123258.4372,79,3.681702
-43672.661158,29,3.777485
-96469.073428,63,3.9022
-150044.328499,99,4.066177
-111256.081384,73,4.206456
-112848.831599,78,4.348976
-42688.232737,26,4.44203
-32093.784718,21,4.535705
-216598.651876,135,4.73032
-112356.579518,74,4.871042
-133257.377322,89,5.029932
-58372.770639,40,5.138649
-47183.323143,31,5.239365
-130549.524307,82,5.387975
-35984.90183,24,5.488408
-303295.697617,193,5.738178
-50468.181575,33,5.838755
-60578.146936,37,5.942359
-27398.159808,18,6.036312
-54084.305926,38,6.14324
-36691.336293,23,6.246326
-46886.360353,30,6.35214
-45786.65556,30,6.456913
-36292.842148,24,6.556129
-74754.67204,49,6.674738
-125757.226328,82,6.824938
-92949.882399,64,6.963504
-40785.109494,28,7.070795
-101564.022184,64,7.208247
-55084.056497,36,7.325021
-52877.535541,36,7.434676
-34583.780825,22,7.529561
-47985.732225,31,7.633592
-95465.625665,62,7.771969
-32494.438859,21,7.868534
-79078.130432,52,8.021809
-88165.578551,59,8.156424
-86280.823142,57,8.288474
-35190.696093,23,8.389186
-113458.010473,76,8.535202
-158427.480624,108,8.709772
-62279.509839,41,8.824617
-167638.811273,112,9.008631
-37684.384047,26,9.112666
-103171.301485,67,9.25886
-62884.73949,42,9.379736
-136946.280703,89,9.538279
-35591.073102,23,9.632721
-67770.403044,47,9.746596
-67878.681079,44,9.856893
-44884.289699,29,9.956968
-31488.30243,22,10.048124
-26294.991912,17,10.136339
-248999.112225,159,10.354196
-21597.025699,14,10.446435
-113052.37885,72,10.580335
-16791.996593,12,10.662034
-214738.579748,140,10.863975
-26689.981841,18,10.950288
-38488.279509,26,11.047109
-86666.955687,59,11.170727
-81170.975238,55,11.299729
-141647.639552,92,11.459583
-147222.502999,98,11.631609
-145347.089863,95,11.807119
-103561.480174,67,11.94547
-81479.268712,53,12.071961
-193337.129197,128,12.277962
-195035.550406,128,12.535558
-100058.958768,65,12.684917
-31087.200116,20,12.781139
-78675.181,51,12.913795
-105270.996951,72,13.058404
-104755.539657,71,13.200057
-24785.871322,16,13.295557
-109356.643361,71,13.449562
-133954.682307,89,13.611891
-137144.761735,92,13.772236
-123954.040019,81,13.926251
-97370.767481,65,14.067308
-147848.550917,102,14.245835
-59179.846045,39,14.355652
-152643.552799,97,14.53205
-161228.007008,104,14.710908
-46986.519502,32,14.81479
-37190.250949,23,14.918785
-61985.369979,38,15.03602
-76277.314706,50,15.16847
-21792.591873,14,15.260123
-34787.254904,24,15.353832
-58279.989957,40,15.460868
-31092.807657,20,15.551474
-92765.049884,63,15.693191
-266812.012285,172,15.933435
-67075.554988,45,16.051422
-166543.453352,110,16.229317
-45290.106918,29,16.336299
-38692.697161,27,16.437553
-190332.998568,125,16.627408
-23889.618331,16,16.721736
-44887.625831,28,16.822848
-135141.890319,91,16.984205
-27397.0863,18,17.075647
-112442.411708,76,17.228827
-95262.135695,66,17.402073
-105772.445863,68,17.547941
-134839.433547,91,17.712859
-27094.622865,19,17.812959
-45281.340215,31,17.921978
-161550.381969,106,18.104976
-49583.411089,33,18.21502
-58185.376728,38,18.326346
-294489.112534,196,18.584061
-121452.185137,80,18.732978
-104744.386011,70,18.870694
-26890.622862,17,18.962853
-76280.3699,52,19.080804
-60780.937323,38,19.186369
-127553.899858,86,19.342586
-233406.563737,153,19.555083
-57387.373993,37,19.660621
-93159.563592,62,19.791829
-153138.393456,100,19.959161
-65865.217421,44,20.071447
-58684.590451,39,20.191172
-94570.368458,60,20.328157
-82367.50441,54,20.461183
-85782.597144,58,20.603705
-154951.742642,106,20.79032
-91966.128778,59,20.928202
-174139.722159,113,21.113228
-52986.916559,33,21.22573
-22892.418863,16,21.318758
-104363.331916,69,21.460783
-186739.163394,121,21.65723
-62179.240502,40,21.77416
-100264.389686,65,21.912099
