#{"t_start": 1702340430.634998, "env_id": "ContactProcess"}
r,l,t
-815.337499,27,0.942827
-857.87779,27,0.969484
-833.818589,27,0.998291
-822.607913,27,1.026691
-821.65338,27,1.053013
-894.865762,27,1.079324
-695.836851,23,1.1018
-839.807172,27,1.130062
-863.81548,27,1.158877
-856.625823,27,1.230405
-335.326503,12,1.246481
-771.769248,27,1.276861
-883.919903,27,1.304533
-852.421554,27,1.336191
-838.950678,27,1.364548
-573.333214,18,1.387328
-868.805934,27,1.415009
-504.652983,16,1.43433
-281.85786,9,1.44643
-897.215235,27,1.470929
-794.742514,27,1.497767
-856.361749,27,1.531601
-781.127618,27,1.558274
-746.913703,24,1.582411
-780.320511,27,1.608467
-788.837949,27,1.638401
-826.029159,27,1.667492
-832.700799,27,1.689296
-809.502831,27,1.717587
-844.899464,27,1.742445
-858.629844,27,1.775808
-825.720489,27,1.802803
-920.099779,27,1.828291
-835.86515,27,1.856475
-861.331073,27,1.881422
-871.695283,27,1.909194
-816.4485,27,1.938791
-840.606425,27,1.964461
-179.429618,5,1.970483
-872.444842,27,1.99632
-809.44883,27,2.027102
-843.705127,27,2.054662
-854.863403,27,2.082891
-818.827215,27,2.106355
-885.978584,27,2.133114
-860.954386,27,2.15827
-830.915073,27,2.183114
-873.795237,27,2.208314
-240.895851,8,2.216804
-828.567294,27,2.243789
-880.293718,27,2.269134
-512.453643,16,2.291336
-786.983871,27,2.317648
-825.873876,27,2.34459
-815.100658,27,2.371647
-683.630086,23,2.397022
-832.271999,27,2.423228
-857.594124,27,2.452311
-818.112825,27,2.480383
-807.323832,27,2.509921
-820.57246,27,2.537975
-856.597814,27,2.570739
-618.431591,22,2.595392
-583.880727,20,2.618864
-885.283979,27,2.648745
-860.735182,27,2.674619
-654.330506,20,2.699664
-827.444154,26,2.725426
-796.644194,26,2.752804
-862.286194,27,2.781226
-883.287582,27,2.806668
-890.180032,27,2.836832
-858.484321,27,2.864462
-878.706791,27,2.890637
-859.794922,27,2.916457
-643.01893,21,2.939158
-823.335124,27,2.964501
-860.709608,27,2.989811
-848.277826,27,3.016493
-858.326959,27,3.044945
-849.752812,27,3.069182
-797.055285,27,3.104189
-800.955965,27,3.130995
-869.640839,27,3.157275
-839.748801,27,3.18332
-760.579933,27,3.214893
-850.958431,27,3.241485
-834.884645,27,3.267448
-872.680132,27,3.29447
-913.572169,27,3.321948
-822.386613,27,3.354032
-928.518209,27,3.382067
-801.982871,27,3.406072
-453.26145,13,3.424195
-853.507736,27,3.450544
-845.026801,27,3.482134
-841.267508,27,3.505029
-905.111045,27,3.529962
-872.242897,27,3.556355
-873.226158,27,3.580994
-838.80097,27,3.611202
-860.064068,27,3.639242
-859.714416,27,3.669027
-872.482985,27,3.696378
-692.597904,22,3.720992
-826.097649,27,3.749705
-586.580034,18,3.767704
-476.780246,14,3.781232
-840.783494,27,3.809947
-214.453622,7,3.820315
-849.113604,27,3.845471
-856.156044,27,3.87558
-849.665497,27,3.900888
-877.988043,27,3.928122
-833.327371,27,3.954528
-275.450812,9,3.965609
-663.652315,22,3.990699
-757.560303,24,4.012735
-490.560862,15,4.02885
-824.323832,27,4.058589
-857.856474,27,4.087629
-818.403564,27,4.114636
-852.185255,27,4.145552
-821.644779,27,4.171847
-849.352494,27,4.199076
-788.234723,27,4.225521
-738.514007,24,4.25271
-753.986889,24,4.275211
-812.869876,27,4.300257
-813.638126,27,4.327346
-689.140688,20,4.347329
-807.663097,27,4.372191
-918.187933,27,4.403159
-852.59734,27,4.430012
-726.244707,23,4.456778
-865.460185,27,4.482415
-836.935516,27,4.511537
-796.896335,26,4.537808
-841.936106,27,4.565678
-829.975009,27,4.594017
-647.364557,20,4.612596
