#{"t_start": 1702278341.546579, "env_id": "ContactProcess"}
r,l,t
-305712.880983,195,20.073244
-182639.629009,119,20.224684
-10299.747904,6,20.231921
-242435.08139,152,20.367086
-248136.659973,159,20.55642
-140453.371238,88,20.633126
-128161.370911,80,20.754059
-39493.656459,25,20.777997
-165658.983154,103,20.86234
-152849.021774,98,20.94809
-55883.363507,34,21.030126
-102669.179161,68,21.092291
-335791.808937,210,21.324763
-65877.284638,40,21.361271
-96271.330223,61,21.416908
-43581.514212,29,21.450919
-108358.6078,69,21.515188
-418748.281317,262,21.800948
-102857.072243,68,21.923173
-54080.107107,34,21.959999
-338287.759104,215,22.224063
-82973.712274,53,22.275309
-337980.698008,216,22.540425
-137654.899956,87,22.622571
-83573.312848,53,22.674629
-150350.147693,99,22.820535
-206232.846054,135,22.946557
-104256.565202,68,23.013464
-145050.053285,91,23.155871
-237416.639537,153,23.291592
-15296.299492,9,23.302086
-102369.247979,64,23.411639
-136664.076856,89,23.493529
-95060.164719,60,23.547936
-77469.032283,49,23.59488
-107271.662549,70,23.714516
-128554.570785,82,23.781928
-81376.209924,53,23.83443
-129655.963712,80,23.961918
-188446.659982,117,24.073384
-131745.838442,83,24.153849
-201439.191539,124,24.332205
-61490.308671,39,24.370506
-66981.660531,43,24.414541
-19793.883815,12,24.428142
-63679.014122,40,24.468395
-98468.74453,64,24.582937
-93460.264484,60,24.638746
-100861.509035,66,24.703792
-156034.670359,96,24.842954
-101077.227554,65,24.902092
-45785.425095,28,24.927357
-41884.40739,26,24.952575
-47388.883007,30,24.979056
-145154.646473,90,25.056402
-110459.731388,75,25.177908
-74782.790821,47,25.224579
-67179.701464,42,25.275216
-25683.317391,18,25.299546
-337687.54545,220,25.566436
-65484.857855,42,25.603846
-92969.838609,59,25.655755
-147140.775274,91,25.796628
-90170.038897,56,25.85163
-130558.824447,84,25.929656
-40282.310972,26,25.954202
-50974.574048,29,26.037062
-95361.86172,61,26.092324
-74377.683628,47,26.139465
-22396.482955,14,26.156779
-124863.576122,80,26.233934
-46679.101226,28,26.262958
-60972.510658,40,26.384584
-66284.32159,40,26.425434
-32592.845578,21,26.446743
-111463.890767,70,26.514087
-127654.512682,80,26.587525
