#{"t_start": 1702338514.678338, "env_id": "ContactProcess"}
r,l,t
-36382.58134,23,11.339763
-82387.159372,52,11.389256
-42280.566089,28,11.418498
-91464.905784,59,11.479159
-30193.8562,20,11.499967
-70581.750185,45,11.547285
-50787.277577,33,11.581637
-49881.19314,30,11.610765
-26896.278002,17,11.631299
-51391.585075,32,11.660336
-87283.195943,55,11.712264
-99069.728078,66,11.782044
-40990.264824,26,11.810571
-58574.75239,37,11.845429
-72588.145939,46,11.887414
-132264.534551,82,11.962977
-70982.861917,44,12.008525
-32986.988437,21,12.031418
-82577.170486,52,12.076852
-34695.385793,22,12.099925
-127653.545796,82,12.171916
-52292.38642,33,12.202294
-66384.177242,42,12.244417
-70980.686987,45,12.285278
-173260.48885,109,12.380534
-60284.380201,39,12.418227
-23097.702625,14,12.431903
-75382.307326,47,12.480516
-52487.207697,33,12.512681
-50688.214749,31,12.543031
-61681.960891,41,12.585802
-20997.850573,14,12.605513
-41493.555248,26,12.631607
-64586.13861,42,12.668439
-39279.449452,26,12.694294
-18496.227804,12,12.706824
-22889.045914,16,12.728543
-104460.935592,68,12.791778
-51392.218762,33,12.821302
-25198.78155,16,12.838572
-109672.624289,70,12.899908
-96579.781932,61,12.954818
-53185.731542,35,12.992858
-69885.969352,45,13.041276
-106468.679554,67,13.099303
-44682.902439,30,13.129682
-138661.397875,90,13.212205
-27892.166718,19,13.232185
-48793.128914,31,13.261351
-62488.135602,38,13.299064
-76778.380337,50,13.345764
-65686.27445,42,13.382771
-141366.05662,91,13.465991
-56990.807506,36,13.501723
-63985.347303,42,13.542992
-57591.399238,35,13.577341
-72079.210652,45,13.616093
-31396.614295,19,13.633308
-61982.655569,40,13.669496
-34186.279052,21,13.693859
-18395.403083,13,13.710501
-80581.630351,53,13.758702
-61972.913346,41,13.798697
-45990.16402,31,13.831173
-38093.321147,26,13.85682
-73979.497405,48,13.899656
-16498.94752,11,13.912351
-62489.000983,40,13.956023
-23497.533165,14,13.970367
-37490.06368,24,13.994415
-97077.856387,61,14.048263
-64989.06841,41,14.081803
-133265.61244,87,14.161139
-56189.183854,34,14.19635
-51388.003135,33,14.227235
-18397.418889,11,14.239305
-41088.95063,24,14.260053
-40386.437067,26,14.287665
-13999.069218,9,14.300627
-21792.007243,14,14.317123
-31594.707761,20,14.33832
-74785.170957,47,14.382474
-131268.760437,83,14.463667
-59083.909677,38,14.500043
-77380.325984,50,14.54783
-30494.501764,19,14.568404
-40794.231896,26,14.595177
-24797.132707,15,14.612237
-50788.32664,32,14.643669
-36689.732708,24,14.670142
-55094.988755,34,14.70768
-122163.142316,78,14.775883
-35691.578951,23,14.797896
-58478.305907,37,14.832905
-51273.102051,33,14.863907
-123973.194273,78,14.931745
-34991.205914,23,14.958587
-32393.524956,21,14.97857
-67379.87959,43,15.01575
-46085.904224,30,15.042912
-62888.09385,38,15.076405
-169451.901386,108,15.170482
-65678.755861,42,15.2068
-46891.92498,31,15.235175
-77279.23177,48,15.280747
-68584.095707,42,15.321006
-52085.437975,35,15.353494
-44983.929755,28,15.379754
-17897.215124,12,15.394622
-35894.021306,22,15.422769
-86680.89456,57,15.476862
-40489.828649,26,15.5028
-28891.615908,19,15.522734
-54979.058946,36,15.557941
-67187.552371,43,15.602864
-47084.828505,32,15.638184
-38287.888177,25,15.666127
-42675.984496,27,15.699803
-68678.220663,45,15.74337
-41591.939314,26,15.771994
-98066.562197,61,15.82895
-149952.474039,95,15.915091
-86776.280368,56,15.969427
-56782.00672,35,16.007382
-17699.055972,12,16.023994
-39691.7269,25,16.049695
-58984.597821,39,16.087533
-56391.951247,35,16.120397
-63684.478774,42,16.155185
-91570.44795,58,16.212073
-40791.902358,26,16.238895
-86370.07336,57,16.288476
-62078.581329,40,16.324253
-48189.132175,31,16.353957
-56780.787435,35,16.386409
-141365.461349,93,16.472386
-23595.552456,15,16.49002
-28496.023991,18,16.511359
-71282.006615,47,16.56492
-20191.352271,13,16.582454
-35380.926921,24,16.611758
-75581.044164,47,16.657394
-56785.031864,39,16.699176
-20094.489178,12,16.711746
-19594.906081,13,16.727413
-23596.006794,15,16.746204
-45091.081126,29,16.773745
-94374.591845,58,16.82268
-18297.020741,11,16.836043
-44293.864087,28,16.862754
-67383.545055,42,16.902891
-50390.387127,33,16.93618
-39984.030313,25,16.964306
-28593.116067,18,16.982259
-94672.154748,61,17.035639
-69888.935889,44,17.075505
-25598.364386,17,17.092604
-54890.724143,36,17.12772
-174460.693288,114,17.235484
-95074.36274,62,17.293634
-54692.876617,34,17.326059
-65184.94838,41,17.365435
-17498.237097,11,17.377862
-55894.869248,36,17.413192
-60786.284524,39,17.455334
-20399.124708,13,17.471276
-12698.508327,8,17.483623
-49785.424398,33,17.518593
-88985.588916,56,17.571295
-19591.404949,13,17.585242
-33393.089677,22,17.61059
-16796.760757,10,17.623849
-79379.605887,52,17.673473
-137367.218922,87,17.758486
-68982.219452,44,17.797424
-17099.16937,10,17.808951
-50684.824352,33,17.837629
-19199.140735,12,17.849424
-36896.056642,24,17.874902
-56294.981332,34,17.905435
-68587.680086,43,17.947377
-97674.376911,61,18.004204
-104269.076306,68,18.064838
-161562.887818,103,18.162053
-73182.349384,47,18.209018
-139159.380618,87,18.291568
-116076.145981,74,18.355108
-22396.43876,15,18.371786
-69981.537262,45,18.411674
-27188.978762,18,18.434421
-25290.862545,16,18.452188
-79583.926207,51,18.499773
-30998.033436,20,18.519661
-22494.137719,14,18.533837
-37488.995676,24,18.55902
-61782.435242,40,18.594421
-54792.773867,36,18.629145
-17598.435212,12,18.643171
-33496.399082,22,18.667271
-13195.257945,10,18.680977
-55181.221183,36,18.720021
-39889.700131,24,18.748152
-160957.826409,102,18.840005
-61779.543451,38,18.877432
-21995.589083,14,18.892732
-161752.855066,102,18.988219
-103273.897566,67,19.047693
-10998.595214,8,19.057414
-129262.71214,84,19.132209
-12399.912897,8,19.144025
-53487.809517,35,19.180203
-38893.630682,25,19.21015
-42997.287864,28,19.241612
-38788.613787,26,19.273623
-94377.166544,61,19.33781
-52884.34257,34,19.373908
-37093.790311,23,19.395935
-45889.313044,30,19.425859
-32193.985818,21,19.446827
-29194.96419,18,19.471182
-26692.620845,17,19.490665
-97084.438073,61,19.549805
-80474.691325,53,19.600461
-33483.042182,21,19.624112
-76989.574308,47,19.665243
-89474.479159,58,19.728302
-46395.321016,29,19.758391
-58589.908368,38,19.796023
-43692.859885,28,19.824747
-45193.967016,29,19.853446
-170952.822024,109,19.957765
-58590.58677,37,19.993728
-85083.699702,53,20.041451
-185653.157435,116,20.144853
-124467.560758,78,20.21926
-10799.40479,7,20.228959
-12099.306119,8,20.239139
-38596.381208,23,20.263617
-56187.852801,36,20.298168
-85883.327629,56,20.350113
-35295.990589,23,20.377424
-77884.405235,49,20.423276
-93077.373194,59,20.48193
-52190.806469,32,20.513061
-48890.792604,32,20.552093
-64189.882173,42,20.594792
-18696.337856,12,20.610283
-52688.731357,34,20.642482
-51485.917749,31,20.672638
-79179.939559,51,20.729141
-42394.616445,26,20.754785
-19297.707138,12,20.771156
-94887.55228,60,20.828521
-49091.389539,34,20.872293
-27591.099134,18,20.894805
-61490.686132,40,20.936479
-20297.730103,12,20.948258
-77679.729405,49,20.995428
-85874.711193,57,21.057527
-74277.140122,48,21.103441
-37592.742186,22,21.124969
-27592.3125,18,21.145928
-54578.743576,35,21.18312
-42591.427987,27,21.215387
-38391.836362,24,21.23834
-28289.222765,17,21.257148
-25597.482085,16,21.281984
-36587.989669,24,21.306891
-12695.557284,8,21.316714
-29395.983827,19,21.336592
-15098.431939,9,21.345552
-111176.475004,70,21.413974
-44995.012779,28,21.441079
-69087.147026,44,21.483474
-122681.354955,79,21.564002
-108183.223459,69,21.638943
-31796.506562,20,21.663269
-28894.689801,19,21.687252
-38087.132244,23,21.712709
-63094.390796,40,21.750989
-30997.63012,20,21.773834
-32797.544018,21,21.793467
-45683.469689,29,21.828088
-29197.597268,18,21.847095
-107974.640139,71,21.916937
-49796.800154,32,21.950273
-38984.090259,25,21.976163
-75085.054436,48,22.024246
-55484.024471,34,22.060191
-35894.888811,23,22.089084
-57081.621082,36,22.123749
-14599.620201,9,22.13273
-42393.809494,27,22.162115
-44192.560479,29,22.19474
-21496.308342,14,22.213064
-17799.123299,11,22.226059
-140467.305864,90,22.304257
-62787.107008,39,22.346669
-22896.912982,15,22.361449
-38492.047932,25,22.385745
-22897.558221,15,22.402186
-35695.361276,22,22.42655
-26095.340234,17,22.444054
-61581.905659,40,22.48233
-27798.500212,18,22.527026
-55487.315817,36,22.56986
-28897.608716,19,22.594113
-13596.367788,8,22.604894
-12796.698435,8,22.616117
-18897.092692,12,22.631826
-43891.900092,29,22.669097
-41697.119757,25,22.693255
-32993.720745,20,22.716309
-88288.607886,55,22.766874
-24996.435014,15,22.783828
-42091.509413,27,22.810032
-20097.13587,13,22.823519
-44488.891807,27,22.848748
-33997.32816,20,22.86925
-52693.491213,34,22.901451
-48288.696681,33,22.938683
-39793.705773,26,22.963378
-35791.531326,22,22.986692
-70492.725852,46,23.028413
-41894.255023,27,23.056864
-27795.585785,17,23.074165
-52593.277649,31,23.105931
-39492.412686,24,23.132987
-69386.983333,44,23.179554
-17995.922299,11,23.191555
-17594.781049,11,23.207914
-70289.669804,45,23.253129
-107567.177298,68,23.315221
-21991.544415,14,23.331919
-72286.346432,47,23.375543
-10099.439905,6,23.384093
-50196.208728,32,23.411543
-37996.963526,23,23.438548
-20499.547451,12,23.450069
-50990.537284,31,23.479935
-35594.591842,24,23.506405
-33796.926741,21,23.529597
-64186.167507,41,23.574365
-16798.003393,11,23.590009
-41394.458092,27,23.621279
-37793.369379,25,23.649881
-37190.486849,23,23.679399
-22899.829394,15,23.697531
-72490.335861,45,23.748493
-24794.987947,16,23.769778
-173063.169659,109,23.875875
-47091.467596,28,23.902299
-46867.588769,31,23.933249
-71392.483381,47,23.988905
-66988.803347,41,24.035195
-47388.960323,30,24.064461
-50293.341717,31,24.100027
-39697.06968,24,24.125569
-40791.810192,26,24.156915
-11193.78535,7,24.166678
-62391.247773,40,24.205065
-33990.884121,20,24.225562
-28494.15118,19,24.243719
-56293.584395,35,24.283781
-29191.732053,18,24.302616
-103169.054135,63,24.357087
-23988.696173,16,24.374371
-44695.75816,28,24.401923
-14297.152118,10,24.415354
-74685.93401,49,24.46118
-44893.728101,28,24.489976
-24798.565619,15,24.505836
-65483.870398,42,24.551381
-25894.143931,16,24.568283
-58782.42398,38,24.602442
-31693.770213,20,24.622777
-13899.318913,10,24.636682
-37086.789338,24,24.661267
-26093.653818,17,24.680984
-26996.802833,18,24.699895
-48287.053638,28,24.726808
-57389.61181,36,24.762319
-53792.890513,36,24.800415
-18498.03284,12,24.81144
-33694.401364,21,24.835181
-38391.710892,26,24.862862
-64483.915489,41,24.900922
-15097.371275,9,24.911905
-40295.399147,26,24.938949
-39598.141876,25,24.963005
-100078.613334,63,25.018675
-45687.605255,29,25.053617
-11997.310588,8,25.065424
-37990.019603,23,25.087597
-21792.958166,13,25.100345
-21799.038687,13,25.114347
-39389.806983,27,25.140045
-19398.303364,12,25.154408
-17898.940619,11,25.167393
-44497.605988,29,25.197009
-14398.717867,9,25.20961
-37488.288113,23,25.232517
-78778.676005,50,25.277097
-37394.52825,23,25.3068
-47789.861024,32,25.336271
-24897.162158,16,25.354253
-44197.923571,28,25.382193
-34796.375118,23,25.405057
-143163.434522,92,25.489322
-78783.266467,50,25.536746
-30198.585212,19,25.559159
-52285.338232,32,25.588384
-39891.963695,26,25.617249
-59894.852,39,25.658336
-45295.012832,30,25.688571
-8298.878883,5,25.69516
-39296.35237,27,25.724805
-12898.501767,8,25.735298
-26398.48407,15,25.750729
-33098.859848,21,25.772313
-54695.532143,35,25.80826
-68788.134179,45,25.866114
-61589.422424,40,25.907966
-31897.8588,21,25.932057
-30795.11421,19,25.95312
-60390.217619,37,25.988551
-90885.067265,57,26.0419
-33194.189287,19,26.059724
-52195.312557,33,26.097791
-30794.374637,20,26.119808
-36990.139425,24,26.148065
-70688.737475,44,26.188999
-19697.122102,13,26.203307
-48192.838672,29,26.232166
-68978.207866,43,26.270986
-36496.363639,25,26.299284
-57193.151513,37,26.334801
-24593.891284,17,26.358307
-57593.596199,36,26.394121
-15898.355466,10,26.411382
-21197.266174,13,26.426053
-54790.853335,34,26.465245
-41787.339989,28,26.491589
-28396.804419,18,26.513325
-12698.75182,8,26.523363
-28697.570418,20,26.544763
-66987.15556,44,26.588969
-28393.220486,18,26.610685
-35594.576542,24,26.636963
-26497.445262,16,26.658253
-24791.416886,16,26.679267
-36296.081475,24,26.706354
-54093.387652,35,26.743846
-44396.902858,30,26.772506
-58189.313162,38,26.812251
-36988.012093,23,26.834804
-34496.158781,22,26.855374
-45290.653413,30,26.889287
-9999.063932,7,26.901064
-37993.365414,24,26.929931
-38897.447692,24,26.954144
-78484.797604,49,27.000057
-80077.705667,51,27.048432
-78982.071163,51,27.096135
-83187.435042,53,27.147848
-57589.002412,36,27.188058
-38995.541364,25,27.215042
-43194.628926,28,27.243278
-70178.287413,47,27.286396
-31294.635563,20,27.306401
-11098.4495,8,27.317124
-66482.19531,43,27.357261
-46494.358628,30,27.386747
-64989.409785,42,27.432285
-21996.433114,14,27.449305
-50790.467023,33,27.479477
-18198.617953,12,27.493183
-32894.055088,20,27.512099
-45195.832629,28,27.538606
-39294.835183,25,27.563393
-77778.809326,49,27.606619
-58986.302323,38,27.640027
-25699.304602,17,27.659941
-22097.099638,14,27.677936
-61491.565527,40,27.722036
-50392.394393,32,27.748761
-43997.516158,28,27.779944
-16097.946364,12,27.796994
-26396.985168,18,27.81795
-41192.221538,25,27.84726
-63091.44879,39,27.881981
-32694.637147,21,27.90459
-16898.436869,12,27.919832
-42191.008656,29,27.945024
-40891.884662,29,27.975615
-46988.619253,31,28.008015
-74381.223223,48,28.051497
-32986.850166,23,28.07636
-36794.007194,24,28.102217
-42396.418535,27,28.130127
-24298.310253,14,28.144251
-45890.101161,28,28.168525
-58688.619478,36,28.202989
-16999.021657,11,28.214537
-14898.202047,10,28.226959
-43595.589183,30,28.262896
-16898.044665,11,28.277264
-22296.136806,14,28.294076
-26798.331957,16,28.310709
-11598.478014,7,28.320596
-15697.742848,10,28.331167
-57887.388584,38,28.367631
-56488.141875,34,28.396815
-29493.86685,20,28.417059
-19399.027127,13,28.432182
-15298.454601,10,28.443333
-24096.797924,16,28.459567
-23496.6346,16,28.483088
