#{"t_start": 1702340922.315851, "env_id": "ContactProcess"}
r,l,t
-492.668851,16,1.037617
-828.786481,27,1.137653
-651.515024,21,1.236493
-844.79169,27,1.337622
-847.890573,27,1.45052
-899.245197,27,1.550199
-853.595166,27,1.647055
-458.815664,15,1.738008
-901.267025,27,1.831153
-867.959916,27,1.92626
-581.017699,19,2.143076
-791.181228,27,2.244458
-798.521739,27,2.349346
-782.872878,27,2.446594
-824.260349,27,2.543634
-795.040307,27,2.644423
-845.638656,27,2.74818
-817.823576,27,2.845813
-450.635232,15,2.931075
-867.781071,27,3.025119
-815.280293,27,3.18134
-803.776322,27,3.28182
-321.418425,11,3.368356
-838.223288,27,3.472022
-566.001249,18,3.566427
-819.262454,27,3.668192
-825.453873,27,3.763924
-805.554833,27,3.866879
-856.628358,27,3.967752
-850.513297,27,4.068467
-624.960007,21,4.161717
-788.522939,27,4.320379
-590.60349,18,4.409622
-865.419827,27,4.509051
-861.147006,27,4.608041
-834.021169,27,4.711916
-790.75954,27,4.812503
-330.239906,11,4.894775
-886.419072,27,4.989428
-825.900305,27,5.08301
-760.057668,25,5.179015
-711.767132,24,5.275341
-821.940483,27,5.423196
-901.485231,27,5.517828
-849.872885,27,5.614746
-833.933175,27,5.712283
-866.1193,27,5.812456
-819.274093,27,5.913152
-785.699989,27,6.009798
-684.635382,22,6.106877
-780.344585,27,6.205838
-644.340309,22,6.375107
-839.346646,27,6.473161
-790.211223,27,6.575544
-889.957302,27,6.672713
-841.045487,27,6.766084
-855.822461,27,6.862985
-865.897694,27,6.958989
-847.099418,27,7.056999
-840.417897,27,7.151892
-777.74774,27,7.246407
-790.503461,27,7.395576
-841.625327,27,7.499167
-775.642163,26,7.599617
-452.709973,16,7.688173
-517.35359,17,7.771599
-673.470916,23,7.86945
-758.311308,27,7.962963
-883.179564,27,8.072238
-578.851223,18,8.160164
-799.963847,27,8.254389
-881.506085,27,8.350877
-552.092949,18,8.491963
-886.080798,27,8.587131
-830.345415,27,8.681979
-834.17112,27,8.777774
-793.976622,27,8.873688
-338.856451,10,8.955231
-836.970875,27,9.050882
-805.347712,27,9.146154
-818.794834,27,9.241905
-802.910843,27,9.339263
-834.120283,27,9.488486
-814.849431,27,9.585219
-817.221111,27,9.68018
-830.624341,27,9.77072
-875.043862,27,9.86511
-807.455406,27,9.958578
-859.294419,27,10.054413
-804.657748,27,10.150855
-809.397551,27,10.246926
-383.721368,12,10.326834
-823.6242,27,10.484635
-857.621594,27,10.589162
-805.540154,27,10.686068
-834.659888,24,10.784277
-862.888873,27,10.883972
-818.419343,27,10.990072
-917.650762,27,11.085575
-812.883684,27,11.180061
-393.77945,14,11.264881
-857.321499,27,11.358502
-862.693912,27,11.509615
-841.753102,27,11.607532
-876.77585,27,11.703845
-826.484313,27,11.808621
-839.787332,27,11.906719
-500.320993,15,11.989434
-842.292229,27,12.088535
-572.856213,18,12.178297
-865.809371,27,12.273645
-869.278061,27,12.36897
-852.264032,27,12.51951
-491.766457,17,12.611924
-354.362496,11,12.694304
-824.859089,27,12.790476
-851.873686,27,12.886473
-802.612457,27,12.981808
-743.633149,27,13.076629
-844.60106,27,13.16934
-453.769183,15,13.252776
-618.65233,19,13.340539
-844.154765,27,13.438914
-805.545803,27,13.532602
-813.504123,27,13.683207
-819.92187,27,13.778837
-824.544259,27,13.873545
-809.190173,27,13.966292
-881.546591,27,14.0616
-881.275288,27,14.158409
-763.090503,25,14.249665
-829.443674,27,14.345687
-860.659235,27,14.440673
-782.388805,27,14.58901
-795.376947,27,14.685221
-796.707651,27,14.783802
-811.532417,27,14.883973
-887.709842,27,14.981008
-850.935386,27,15.075242
-721.884877,23,15.168418
-864.556801,27,15.266842
-815.396157,27,15.367063
-818.218135,27,15.463616
-842.104015,27,15.610528
-787.950107,27,15.705349
-792.947787,27,15.800483
-541.309241,18,15.892375
-822.051923,27,15.986497
-851.673986,27,16.07864
-815.780099,27,16.180963
-832.517956,27,16.278856
-827.897011,27,16.37994
-828.207777,27,16.4799
-780.378822,27,16.628433
-792.521914,27,16.725496
-804.404457,27,16.821182
-502.254309,16,16.903787
-818.201998,27,17.000303
-830.611417,27,17.095722
-848.967216,27,17.190334
-800.438651,27,17.284578
-803.399572,27,17.383551
-860.983766,27,17.477062
-877.26446,27,17.62392
-805.728858,27,17.718018
-802.998927,27,17.815133
-613.539277,19,17.902634
-345.391151,11,17.983789
-822.467741,27,18.078207
-732.955856,27,18.177323
-824.327004,27,18.279202
-408.46181,14,18.36638
-870.112952,27,18.461654
-835.560689,27,18.614508
-833.374449,27,18.711512
-348.119166,12,18.795255
-789.306589,27,18.88705
-789.292647,27,18.982998
-814.092054,27,19.078185
-776.835403,26,19.178124
-811.792277,27,19.27679
-689.728612,20,19.369106
-664.397045,24,19.464837
-829.323653,27,19.564142
-716.66614,23,19.712209
-871.391374,27,19.812298
-840.956304,27,19.90958
-431.720807,15,19.997807
-444.422424,15,20.085943
-792.2964,27,20.181982
-820.959006,27,20.277541
-842.740151,27,20.377729
-786.076599,25,20.477624
-801.137882,27,20.58023
-810.568932,27,20.735365
-832.33653,27,20.832343
-816.864903,27,20.926217
-509.722869,18,21.019759
-861.367802,27,21.117749
-779.620072,27,21.214298
-795.051984,27,21.310728
-795.383784,27,21.409919
-810.522728,27,21.507935
-855.156896,27,21.606928
-634.759839,20,21.752942
-767.385431,27,21.853444
-875.872481,27,21.951081
-831.71445,27,22.049618
-787.889386,27,22.149935
-554.4519,19,22.244441
-853.873413,27,22.344701
-835.521633,27,22.44105
-838.357911,27,22.538332
-794.984784,27,22.638161
-847.470337,27,22.790198
-620.16512,20,22.881285
-809.309069,27,22.978875
-805.796397,26,23.069048
-816.396544,27,23.167638
-795.475298,27,23.262976
-821.416399,27,23.358795
-878.166659,27,23.456025
-783.618908,27,23.55193
-805.825975,27,23.647127
-824.996692,27,23.795156
-841.292562,27,23.887512
-862.197108,27,23.978387
-799.363723,27,24.075798
-849.026594,27,24.171085
-843.906347,27,24.264107
-804.427615,27,24.362014
-697.372274,23,24.453711
-797.994331,27,24.547426
-738.126098,27,24.647468
-822.833007,27,24.807873
-820.082852,27,24.90774
-511.004393,17,24.999179
-793.510081,27,25.101843
-841.940652,27,25.204525
-830.137864,27,25.305219
-788.730004,27,25.41257
-753.769912,27,25.518362
-231.546095,7,25.585797
-813.259484,27,25.687649
-715.077071,24,25.845659
-817.876736,27,25.961222
-811.189572,27,26.06666
-807.785784,27,26.16602
-779.691659,27,26.269844
-844.869425,27,26.368718
-762.575095,27,26.469752
-648.660635,20,26.568536
-755.188628,27,26.673312
-817.203588,27,26.774085
-572.230256,18,26.924931
-728.195549,27,27.027908
-801.969609,27,27.129761
-790.618007,27,27.232332
-825.42457,27,27.338066
-806.791419,26,27.44127
-885.337305,27,27.541064
-480.395776,16,27.633714
-783.279963,27,27.736066
-801.837289,27,27.832527
-862.345248,27,27.984649
-811.634784,27,28.088773
-751.093629,27,28.198136
-812.519947,27,28.298673
-786.968075,27,28.405775
-774.398515,27,28.513942
-788.270594,27,28.623185
-662.141575,22,28.726336
-780.277546,27,28.833956
-812.841718,27,28.941336
-526.038317,18,29.151054
-669.496913,23,29.273168
-495.204063,16,29.367288
-808.021918,27,29.469191
-819.062853,27,29.57154
-781.335897,27,29.677335
-810.806627,27,29.779121
-834.475405,27,29.881541
-769.192404,27,30.013515
-777.016922,27,30.116372
-808.150271,27,30.283877
-848.724556,27,30.389118
-794.199279,27,30.494955
-789.927776,27,30.600002
-773.462139,27,30.704051
-785.520423,27,30.806645
-788.993891,27,30.907689
-762.711169,27,31.003641
-809.258707,27,31.10451
-778.339178,27,31.210845
-595.11022,20,31.368599
-735.988077,27,31.469659
-785.864692,27,31.57666
-772.897052,27,31.679734
-776.868421,27,31.784506
-760.544587,27,31.885968
-771.10857,27,31.985737
-786.199204,27,32.082411
-794.252691,27,32.184874
-842.968355,27,32.287854
-781.843966,27,32.454625
-758.455155,27,32.554577
-829.16795,27,32.659129
-368.283746,12,32.745703
-795.084559,27,32.848115
-739.005099,27,32.949325
-781.552322,27,33.051188
-778.785664,27,33.155775
-807.567111,27,33.256381
-765.80678,27,33.363858
-558.035319,18,33.542085
-813.912104,27,33.6543
-748.833291,27,33.761465
-834.041027,27,33.867428
-831.163783,27,33.970286
-800.025531,27,34.073488
-731.105146,27,34.17586
-772.617741,27,34.278375
-803.810773,27,34.38241
-761.725944,27,34.541197
-765.963859,27,34.645264
-412.820946,13,34.737322
-698.225564,24,34.838639
-785.138387,27,34.945111
-757.993708,27,35.054617
-783.823241,27,35.155838
-835.145841,27,35.258892
-823.03785,27,35.363788
-678.155303,22,35.465158
-753.971095,27,35.577031
-708.02362,27,35.752663
-794.367703,27,35.860626
-833.1836,27,35.974433
-833.156154,27,36.080763
-673.898137,22,36.18001
-794.382329,27,36.286957
-812.853441,27,36.390254
-769.676571,27,36.491918
-803.89103,27,36.5977
-839.66427,27,36.759878
-802.912226,27,36.868313
-838.197747,27,36.967697
-794.698474,27,37.063719
-793.459747,27,37.164902
