#{"t_start": 1702327432.0035741, "env_id": "ContactProcess"}
r,l,t
-35353.738069,226,1.074791
-8185.1255,54,1.193852
-9699.888311,61,1.251064
-4561.664283,30,1.280964
-22587.385157,141,1.412142
-16375.634118,105,1.52401
-26381.795519,164,1.680038
-4192.460738,27,1.710624
-26823.466214,175,1.874467
-4298.084878,26,1.904683
-9025.685841,57,1.968249
-4334.318364,27,1.993047
-5005.875373,30,2.020697
-2565.216388,16,2.038812
-5014.964092,31,2.072762
-4044.40299,27,2.102614
-6711.123355,43,2.14062
-7147.455735,44,2.186965
-5339.716638,33,2.221302
-3024.36866,19,2.241129
-5628.914974,36,2.273116
-2123.164889,14,2.28769
-13899.573769,88,2.361555
-3253.06458,21,2.38391
-15232.496193,97,2.475743
-4838.018124,31,2.508042
-2874.916212,18,2.526567
-6699.690896,44,2.566345
-4102.706042,25,2.591045
-11520.817129,73,2.6558
-16516.9732,106,2.75046
-20257.230139,127,2.861764
-7707.090516,47,2.908055
-2126.921423,13,2.92283
-4716.049337,31,2.953879
-3330.272141,21,2.976248
-3044.703827,19,2.997393
-17233.848062,114,3.096178
-9452.84151,59,3.150252
-1836.764509,12,3.164812
-6457.075142,41,3.201409
-7435.748271,48,3.242438
-6723.688761,43,3.284704
-1888.229586,12,3.298763
-8227.422081,53,3.346728
-9724.420945,62,3.410191
-10524.867966,67,3.469438
-23922.048587,152,3.599362
-6891.91994,43,3.647261
-2705.935616,16,3.665321
-4791.562906,28,3.69308
-1517.474057,10,3.707703
-9320.021317,59,3.762295
-4644.805991,28,3.790256
-1365.739532,8,3.799278
-12483.93531,77,3.873076
-1393.482843,9,3.883524
-7230.299685,45,3.92983
-7679.735092,48,3.981231
-3896.378188,25,4.006929
-2162.117557,13,4.021466
-7836.339641,48,4.072676
-10915.043883,68,4.142797
-9735.445773,59,4.193576
-7491.130052,46,4.240431
-8922.053618,57,4.293791
-4482.256582,28,4.320399
-11156.772575,68,4.386036
-11987.111987,74,4.450826
-3540.052212,22,4.474565
-21769.088236,137,4.589504
-4817.675057,31,4.624604
-5130.822193,35,4.662191
-14474.442155,96,4.752669
-3218.192136,20,4.777153
-22391.754231,143,4.90844
-4938.729132,30,4.938197
-13720.64477,82,5.010904
-7909.275219,47,5.053591
-4442.196443,28,5.08255
-7911.429914,51,5.133681
-7100.11604,44,5.175511
-13045.898327,79,5.244164
-6236.800185,39,5.281055
-28111.540978,176,5.44281
-2882.752061,18,5.462734
-4037.92014,23,5.483465
-8289.908151,52,5.532721
-2294.085403,14,5.547458
-5113.271732,30,5.576831
-4918.625762,31,5.613991
-9614.669244,59,5.668288
-3413.646563,21,5.68926
-18551.36752,117,5.813455
-1843.205053,11,5.826246
-21446.15889,130,5.944274
-18591.04803,115,6.04259
-1307.222872,8,6.052385
-5816.918831,36,6.095064
-6785.65107,41,6.134939
-7305.492973,44,6.173527
-11167.896091,71,6.240391
-5655.551756,38,6.276526
-37353.424307,233,6.477601
-3045.562781,19,6.49883
-11615.412279,70,6.566514
-4485.823844,27,6.594194
-8070.024968,51,6.642296
-3669.133153,22,6.66309
-3063.234114,18,6.681165
-4290.364864,27,6.708397
-5747.946403,36,6.743689
-9228.611534,59,6.800593
-10120.88255,62,6.857116
-7755.917335,50,6.908163
-12312.526228,76,6.973874
-19743.667634,126,7.079062
-7155.74313,46,7.120468
-2715.123694,17,7.141061
-4326.895901,28,7.169663
-5973.197037,37,7.205171
-5961.61944,40,7.246159
-4802.959768,28,7.277798
-5514.91434,36,7.313493
-5431.026462,34,7.343551
-14830.181551,94,7.421207
-5587.071146,36,7.454244
-6550.406875,44,7.491864
-727.902567,4,7.496724
-3076.306649,18,7.521301
-9355.347045,58,7.573239
-8167.406722,50,7.616876
-9308.122214,58,7.666486
-8876.481342,56,7.716826
-6520.574829,42,7.76549
-19812.072955,124,7.878208
-22210.81055,134,8.007243
-4454.883705,29,8.038904
-4144.752931,24,8.066847
-5018.250827,33,8.101045
-9077.680656,57,8.163501
-11143.695199,66,8.223269
-2208.298759,14,8.239508
-9296.326759,57,8.298292
-3372.037931,21,8.322524
-1812.613729,11,8.334344
-4812.892009,31,8.366194
-3154.414821,19,8.386206
-3543.793859,21,8.405872
-4483.450849,28,8.433983
-6357.484842,39,8.473009
-9599.577178,59,8.531432
-4784.429562,31,8.563432
-9233.384376,57,8.620144
-8010.848909,50,8.670095
-2293.825194,14,8.688528
-8820.672974,53,8.737054
-14221.540176,89,8.820727
-18969.227735,122,8.932194
-1009.113141,6,8.941422
-2557.39817,16,8.957585
-3827.595789,23,8.98092
-3618.937159,23,9.004455
-4287.957096,27,9.036925
-7724.849664,48,9.081983
-6607.973911,40,9.119084
-9291.378415,59,9.174571
-4957.281439,32,9.20189
-10116.455638,64,9.261365
-1738.221787,10,9.272161
-2588.841189,17,9.288428
-5299.960469,35,9.323096
-8926.838456,54,9.373136
-7465.306504,47,9.418209
-4135.105069,26,9.445937
-12243.859365,74,9.517736
-5069.198357,33,9.552614
-2474.773246,16,9.572184
-11460.343092,70,9.633352
-11007.593302,68,9.690781
-2134.373286,14,9.70473
-10970.526419,67,9.769102
-13077.060486,82,9.845861
-5719.002987,36,9.882665
-1973.034,12,9.899537
-2758.906145,17,9.918681
-10727.2021,65,9.976398
-5363.793291,33,10.015818
-7138.319352,44,10.056411
-4269.609309,26,10.082549
-17788.197914,108,10.17553
-8213.102484,52,10.220081
-3310.224171,22,10.245733
-2236.91606,14,10.258543
-3546.390578,23,10.286244
-5231.787591,33,10.317257
-5491.217423,35,10.350171
-7611.37051,48,10.39328
-4716.023898,30,10.421775
-4813.555418,30,10.449665
-6623.650262,41,10.492678
-17805.673288,111,10.587322
-4252.515523,27,10.617088
-6930.324043,43,10.656681
-5657.059023,37,10.690991
-15551.068943,99,10.78189
-4595.796554,29,10.810725
-5500.733718,36,10.848503
-1907.457707,12,10.862769
-6293.946878,37,10.896852
-4531.978308,27,10.926034
-17137.685756,108,11.026022
-7841.320042,48,11.074244
-4315.841349,27,11.103003
-10038.073373,63,11.161213
-6680.212712,42,11.20426
-6610.652621,41,11.250958
-15727.75023,98,11.341681
-2716.490148,17,11.359295
-4474.939345,28,11.388622
-11353.257292,71,11.455519
-32020.839955,204,11.639232
-4812.364579,30,11.667546
-4287.475583,28,11.69628
-4814.781433,33,11.735162
-9362.51578,58,11.786045
-5435.026815,35,11.817335
-2106.883792,13,11.83232
-6656.014093,42,11.869285
-4243.746253,25,11.89374
-8620.269623,55,11.941366
-9859.293946,63,12.005077
-11686.565627,74,12.06997
-2601.22882,16,12.088056
-9658.574944,62,12.142317
-2562.052748,15,12.155812
-1169.185584,8,12.167166
-2885.06336,18,12.189183
-9755.856403,58,12.243246
-5050.702549,32,12.271917
-4323.666657,27,12.299315
-4363.033376,27,12.327436
-4848.508205,32,12.360797
-3036.262254,20,12.379702
-3322.848574,22,12.403097
-8544.351134,53,12.456451
-3819.072108,22,12.478191
-4521.113095,27,12.505414
-6831.748617,42,12.54148
-10568.655932,64,12.596497
-6443.017904,41,12.632744
-5253.823194,31,12.663475
-2777.833296,17,12.680918
-2313.283158,15,12.701671
-4638.287442,29,12.730427
-2390.781857,14,12.748293
-9663.411394,57,12.796634
-9822.047134,63,12.85259
-3644.773575,22,12.874357
-14968.993212,93,12.964715
-9854.279697,60,13.021787
-6759.355267,40,13.056637
-1486.604072,9,13.066871
-2278.031039,14,13.0855
-3742.174655,23,13.106874
-3608.762546,22,13.129942
-4655.688581,27,13.155622
-669.873914,4,13.160981
-2893.807393,17,13.177997
-3229.21931,19,13.205192
-7576.136772,47,13.250532
-3450.50528,21,13.272814
-3164.68142,19,13.297537
-10925.890403,67,13.359826
-6492.197241,40,13.401685
-6834.469086,43,13.443174
-8064.803783,51,13.498633
-4363.95946,27,13.527595
-6437.570305,39,13.566192
-7183.819188,45,13.610739
-4983.932958,30,13.640881
-11116.936108,70,13.711097
-12066.62959,77,13.778179
-4138.610342,24,13.800698
-5495.880189,35,13.835757
-10351.089123,63,13.894464
-8373.670933,53,13.941143
-4575.175632,28,13.972866
-14862.317732,93,14.051006
-3695.662825,21,14.070331
-11477.379519,69,14.132958
-9195.923596,58,14.191012
-1299.986207,8,14.201624
-4558.677216,29,14.231269
-6569.807376,39,14.269544
-999.193697,6,14.278349
-4848.762709,28,14.304896
-9958.003368,64,14.363731
-6008.328554,35,14.394894
-3388.733226,21,14.419639
-2573.807161,17,14.443248
-6351.075702,38,14.479081
-1923.026115,12,14.492638
-2517.175295,15,14.508187
-5487.94326,34,14.542771
-7061.75969,41,14.582027
-1089.650097,6,14.589081
-3315.634241,19,14.607769
-8719.79346,53,14.660077
-4626.441951,27,14.688102
-4065.183255,24,14.716567
-1698.486759,10,14.727531
-6511.955337,40,14.767604
-4506.433351,28,14.792667
-3090.455218,20,14.811927
-4359.940595,26,14.834925
-2199.99654,14,14.851064
-4765.213441,30,14.882006
-8703.464106,54,14.93121
-3015.864233,18,14.948298
-4402.093105,27,14.979695
-2901.097648,18,14.999341
-8526.940285,52,15.044966
-8444.565518,53,15.091358
-7299.400768,44,15.132684
-3544.32634,23,15.156401
-2344.118182,15,15.171572
-2066.097949,12,15.184674
-3455.750314,22,15.21312
-5593.48539,32,15.241988
-2304.647059,15,15.25925
-5596.018462,34,15.292316
-7216.56872,43,15.33134
-2835.471823,17,15.348835
-5449.256961,31,15.376543
-2645.067488,16,15.390948
-5878.604149,33,15.421211
-6546.819669,39,15.460664
-1815.006413,13,15.477067
-5193.573412,32,15.50798
-1568.219292,9,15.518173
-4291.839047,26,15.542773
-6647.644853,41,15.58052
-4840.704509,29,15.608566
-2317.109859,14,15.624769
-2735.297081,16,15.639024
-5697.822855,34,15.666659
-4773.457845,29,15.696326
-2583.940717,16,15.715417
-10970.012117,68,15.771384
-1702.357032,11,15.782356
-3169.183173,18,15.79834
-7192.222931,43,15.833495
-2788.899393,16,15.848735
-2546.069218,15,15.864128
-6371.657491,40,15.901986
-2477.402197,15,15.919103
-4263.528484,25,15.948161
-7272.484662,44,15.993614
-1647.628909,10,16.004636
-8832.438002,51,16.046374
-2114.976176,12,16.059825
-3792.52249,22,16.080988
-5834.924102,35,16.113766
-2807.540024,18,16.13736
-1426.175619,8,16.153885
-7468.954093,44,16.204484
-13111.592153,79,16.283489
-6387.117851,39,16.322513
-5548.751123,33,16.355754
-2286.600317,14,16.369798
-4635.558718,30,16.403474
-7392.279722,46,16.44566
-4582.878562,27,16.475115
-2542.1465,15,16.491923
-4084.535766,24,16.520039
-5668.658516,36,16.555112
-4187.774199,26,16.584594
-1309.317972,7,16.59861
-1788.61306,12,16.623527
-4108.625491,25,16.649781
-4348.045299,26,16.676705
-2393.77373,15,16.697212
-11925.04961,74,16.768976
-1329.434292,8,16.777673
-9193.152513,59,16.83138
-5214.040152,31,16.860738
-6638.517445,40,16.899927
-1844.736973,13,16.919039
-6242.154569,36,16.951459
-6351.075574,37,16.988678
-2462.504916,14,17.007901
-5294.631322,34,17.04829
-1795.40682,11,17.061204
-4664.61984,27,17.090029
-8513.377457,50,17.137181
-9182.369321,55,17.188384
-2206.515965,13,17.202397
-4340.300836,28,17.230469
-5320.308644,33,17.267123
-4147.654057,26,17.299841
-2934.970054,18,17.319239
-3654.222592,22,17.342015
-6581.284661,40,17.382337
-1518.778513,10,17.397746
-4916.789421,29,17.425449
-3801.213716,24,17.452126
-12356.514192,76,17.520329
-6777.084088,43,17.566593
-4615.86509,28,17.591142
-3060.876554,19,17.611107
-6381.68913,38,17.649646
-1798.290233,11,17.66261
-2846.731744,18,17.685301
-1359.711846,8,17.693343
-4880.827151,29,17.723806
-7471.481041,44,17.765912
-1828.521865,11,17.779327
-7317.857239,45,17.826305
-9191.641231,55,17.876859
-2698.516342,15,17.891392
-2733.208016,17,17.911288
-5171.903464,31,17.939494
-5464.198742,33,17.97634
-3964.056888,24,18.003098
-3483.976101,21,18.024857
-2848.039759,20,18.049168
-6377.799622,43,18.095771
-6107.045934,38,18.130364
-4310.444749,26,18.152949
-2535.235136,15,18.169482
-2818.687463,18,18.192647
-1728.98534,11,18.203807
-1599.360672,10,18.214519
-8107.324888,50,18.257402
-4712.947313,28,18.282383
-6513.452027,40,18.321597
-2857.54456,18,18.34137
-3133.893755,20,18.363686
-2812.887205,19,18.384308
-3247.463182,20,18.404772
-9474.7228,58,18.457282
-3128.210134,18,18.475294
-3805.943666,25,18.503968
-2939.45637,17,18.521208
-1419.992858,9,18.529128
-5454.284907,33,18.563554
-1389.311651,8,18.575459
-2535.625431,16,18.596893
-4510.354159,29,18.624885
-3303.234924,20,18.6481
-2387.910504,14,18.664608
-6885.493384,45,18.705619
-4002.4174,25,18.730569
-3651.909012,24,18.7553
-4073.455136,25,18.782037
-1936.965369,12,18.796858
-7691.310262,49,18.842264
-2877.41762,18,18.866309
-5166.643434,33,18.900256
-2567.690723,16,18.917412
-5564.220954,33,18.949352
-5463.490699,32,18.978013
-5708.587604,36,19.014647
-2445.86259,16,19.030946
-4460.611635,29,19.057129
-2160.972743,13,19.072178
-4292.221756,26,19.102753
-2330.869569,15,19.122296
-5396.412419,33,19.154885
-1216.03528,7,19.164288
-2408.538473,15,19.17691
-9465.648626,58,19.230841
-3113.929091,19,19.250083
-5994.641216,37,19.288419
-2458.027452,15,19.308147
-3503.387859,23,19.333786
-5089.951913,31,19.364134
-8043.996611,50,19.422543
-2955.62154,18,19.444209
-1945.206371,11,19.455536
-6187.033457,38,19.490149
-2313.882547,14,19.506351
-3958.448359,25,19.532556
-1565.514114,10,19.545905
-2613.399255,17,19.564767
-3715.772984,24,19.591501
-3057.919514,20,19.614538
-9163.703232,57,19.671857
-2645.315144,16,19.689933
-3616.049241,23,19.714526
-3126.903501,19,19.73352
-6645.317251,42,19.771647
-2722.781738,18,19.79306
-3215.145097,21,19.815293
-1953.164002,13,19.832197
-2446.5396,15,19.85126
-2627.895355,16,19.868415
-3048.252703,20,19.88931
-11503.980439,71,19.960273
-1430.000389,9,19.97133
-5895.350733,37,20.006064
-6784.422073,39,20.039169
-4098.173194,25,20.065269
-3800.095121,24,20.089543
-7825.10102,51,20.139608
-5214.768631,33,20.173149
-4395.279274,25,20.202128
-6230.727382,37,20.235777
-2964.985538,19,20.254743
-4244.514934,27,20.285623
-5681.343523,34,20.31942
-5030.496886,31,20.352844
-2469.635221,15,20.373538
-4740.025082,30,20.404927
-1508.178711,9,20.416371
-3725.048329,22,20.441095
-13490.704297,81,20.524389
-3454.358651,23,20.547634
-3799.867461,23,20.568779
-3597.92612,21,20.590026
-1646.746263,10,20.603908
-2968.727864,17,20.62568
-3981.711164,24,20.650429
-4306.587434,27,20.6803
-6567.917271,40,20.720398
-3416.677169,21,20.747903
-1214.905479,8,20.756473
-2272.466117,15,20.773954
-4040.839807,24,20.795876
-2630.391339,17,20.813639
-1253.737793,8,20.823146
-1319.04375,8,20.834931
-5539.711483,34,20.870139
-1578.494871,10,20.882448
-6815.738535,42,20.921687
-3009.348399,18,20.941705
-3513.70874,22,20.963593
-3200.247853,19,20.983918
-5424.965374,32,21.022398
-2244.305368,13,21.03717
-4724.712346,28,21.062565
-4495.106822,29,21.093009
-2534.390225,18,21.115681
-4610.656606,28,21.142358
-2737.847052,16,21.159107
-1087.705029,7,21.168737
-4584.822235,28,21.19914
-2196.929785,14,21.217469
-4543.225508,27,21.246555
-3732.318139,24,21.270758
-2477.543517,15,21.291163
-1698.032675,10,21.304928
-3342.520018,22,21.327809
-4324.017521,27,21.357983
-1866.192025,12,21.375807
-8277.073628,50,21.425347
-2596.018312,16,21.445265
-2167.303117,13,21.461535
-1632.430941,10,21.474026
-2483.243821,17,21.493036
-1579.479443,9,21.504073
-4117.093559,26,21.534306
-2706.859124,16,21.554112
-3830.782823,22,21.587191
-6135.75786,37,21.623621
-2302.300706,14,21.639455
-4952.330618,31,21.66876
-3401.395073,21,21.689438
-3655.007263,23,21.715579
-8873.678234,52,21.760334
-3846.49292,23,21.782336
-3318.545342,19,21.800255
-2648.937657,16,21.815718
-3701.507452,23,21.84139
-4105.418088,24,21.866189
-1743.470825,12,21.879605
-3144.807677,18,21.897608
-2222.842497,14,21.91235
-8499.38054,50,21.956558
-4187.422741,26,21.987139
-2318.035156,15,22.00245
-3412.660068,21,22.026049
-1288.835523,8,22.038625
-3855.141239,25,22.066946
-3059.944342,18,22.08777
-4719.15923,28,22.121266
-2336.069725,15,22.137901
-2742.83638,16,22.152583
-1953.970058,13,22.168147
-1827.684475,12,22.18305
-1815.904986,11,22.196407
-4375.993156,26,22.219716
-3369.453674,19,22.240741
-1614.996633,10,22.251666
-2558.097373,16,22.27166
-2237.024544,14,22.287384
-4708.743764,27,22.314634
-2989.212134,18,22.33517
-4431.289167,28,22.360691
-3218.345617,20,22.380585
-5210.883299,34,22.418878
-6109.12568,37,22.453843
-3516.379588,24,22.480694
-2729.635904,18,22.499583
-3857.909477,23,22.522204
-6152.36711,37,22.556229
-2524.482716,16,22.572991
-4955.209284,31,22.607069
-6194.48032,37,22.639877
-5100.439679,31,22.672772
-2299.987419,14,22.689253
-3065.451098,19,22.711342
-5372.965909,33,22.745098
-7191.371465,44,22.7864
-2536.955843,15,22.801221
-3236.767096,20,22.822873
-2337.629683,15,22.842156
-3213.740562,20,22.864946
-6872.089454,42,22.908555
-1069.148237,6,22.921321
-3710.183468,23,22.943392
-3505.804545,22,22.966397
-3582.495022,23,22.996712
-2145.449968,13,23.010783
-1419.287056,9,23.020658
-9943.76015,61,23.078775
-1097.482937,8,23.088936
-2349.712643,14,23.105399
-3583.626737,21,23.126836
-2198.318742,13,23.143382
-1957.23168,12,23.155344
-3642.171444,23,23.176713
-3567.133907,20,23.202642
-2844.388635,18,23.221223
-2006.696553,13,23.235734
-3406.127917,20,23.256509
-6040.359717,38,23.297883
-2067.616473,13,23.318836
-2138.402684,13,23.333928
-1510.001077,9,23.345246
-6604.444828,40,23.381573
-3227.487326,21,23.402741
-2459.096535,15,23.420228
-2029.906353,12,23.432617
-2921.644843,17,23.449909
-1850.967576,12,23.464927
-1247.767116,8,23.479263
-1399.367427,9,23.493171
-2096.778176,14,23.5123
-2901.689109,19,23.535245
-2575.257965,16,23.553376
-4480.797739,27,23.582147
-6255.054198,39,23.623303
-3018.741915,18,23.64405
-5109.435413,31,23.67187
-2148.170989,14,23.689384
-1575.689054,11,23.705944
-1684.972844,11,23.723302
-2068.985624,12,23.736873
-1785.651798,12,23.74976
-1917.494634,12,23.763972
-2259.448078,13,23.782648
-3690.816891,22,23.807229
-1857.808426,13,23.823977
-2866.683768,18,23.844134
-2095.848204,13,23.857368
-2456.411693,16,23.875185
-2598.452073,17,23.897586
-1946.883005,13,23.912847
-1966.557194,11,23.927167
-3916.833645,23,23.948008
-2428.904369,15,23.964357
-2952.590388,19,23.982046
-3216.022013,18,23.998724
-1918.205951,11,24.013027
-5499.109707,34,24.046179
-2628.240246,17,24.070514
-2847.964823,17,24.091911
-3789.07028,23,24.120203
-3763.746325,23,24.143931
-2859.500196,17,24.162406
-3334.667699,21,24.184006
-2547.657513,15,24.20033
-4447.846469,27,24.228343
-2539.464361,16,24.247661
-2983.736562,19,24.273985
-5157.68359,31,24.30611
-1368.40072,8,24.317022
-3677.194675,23,24.340318
-1127.209379,8,24.353102
-3878.748284,24,24.383548
-4391.718051,27,24.410746
-2767.797111,18,24.432208
-1709.418512,10,24.445474
-2307.572941,14,24.461541
-3771.121154,24,24.487081
-2975.25406,17,24.502395
-4175.798755,26,24.524999
-1938.713618,12,24.537934
-7613.328752,45,24.574651
-3708.460135,24,24.600534
-1260.000878,7,24.609746
-1529.85883,10,24.625618
-5772.06038,35,24.657909
-3818.69151,23,24.679862
-3066.031606,20,24.702178
-3957.743574,24,24.727381
-3637.940771,22,24.750651
-1655.932635,11,24.765154
-3009.300188,20,24.786516
-2489.265601,15,24.802971
-5404.622114,36,24.841555
-2298.06584,13,24.856171
-5044.669752,32,24.887056
-3780.606151,25,24.916997
-3218.797724,19,24.936795
-1769.104135,10,24.947173
-1416.924677,9,24.957725
-4617.590485,27,24.984844
-2104.457006,14,25.00189
-3106.543392,19,25.019409
-999.285811,6,25.028325
-3588.483324,21,25.049934
-1728.644487,10,25.060741
-2028.992644,12,25.075477
-5785.205864,35,25.109325
-840.000308,5,25.115507
-2296.975924,14,25.127913
-1106.178054,7,25.135845
-3161.834176,20,25.156142
-2083.854623,13,25.174254
-1186.970408,7,25.183822
