#{"t_start": 1702320886.668968, "env_id": "ContactProcess"}
r,l,t
-18480.139053,12,21.346733
-151666.085101,96,21.493884
-55900.655093,35,21.528513
-21174.569191,14,21.54734
-41236.894118,25,21.573621
-22319.107315,15,21.590729
-72941.860197,43,21.630548
-40423.140194,25,21.659716
-186856.862633,121,21.860306
-55304.138312,36,21.903118
-259006.082001,162,22.05591
-98087.017509,59,22.172275
-298867.264322,183,22.339728
-159458.934424,100,22.492857
-296181.210585,191,22.730608
-74111.32404,46,22.777472
-72605.901674,45,22.822374
-132496.423928,85,22.906142
-120536.292307,75,23.053623
-123372.12538,78,23.141342
-169334.246034,110,23.247377
-177097.459983,115,23.423543
-165328.825371,103,23.518977
-77498.861496,47,23.56121
-208635.855296,134,23.73975
-19072.07386,13,23.754809
-392275.361867,245,24.031734
-173672.33914,111,24.1328
-196070.283916,126,24.307499
-109763.672055,68,24.373189
-53832.036689,34,24.404879
-30055.079603,18,24.423557
-53140.055529,32,24.455346
-96859.01525,62,24.57295
-65715.342365,42,24.617526
-28875.505354,17,24.634471
-54620.46065,35,24.671723
-59336.919025,37,24.709343
-47488.469257,29,24.738122
-247066.223324,159,24.946824
-176913.642716,114,25.047764
-270568.365157,172,25.250729
-55699.706734,36,25.285626
-99410.081347,60,25.342338
-42226.731856,26,25.368624
-235232.956729,150,25.555454
-174181.219004,113,25.661249
-171985.404734,109,25.814846
-148187.092168,91,25.901228
-105949.320575,68,25.965363
-40904.459852,26,26.05014
-73008.774619,44,26.092755
-143901.108181,91,26.176867
-26958.684179,18,26.197582
-212684.180693,130,26.362395
-69839.974358,46,26.404152
-106353.38183,67,26.467818
-212954.85058,135,26.657839
-126113.438915,79,26.731853
-171964.898612,110,26.834255
-229466.208757,150,27.030572
-48711.285927,31,27.063625
-120107.622037,76,27.133691
-100400.665892,64,27.253449
-35147.022292,22,27.285025
-51108.90549,33,27.32993
-61118.0883,38,27.367162
-144278.461977,91,27.458659
-247162.277523,157,27.657971
-10689.9353,6,27.666223
-58420.053766,36,27.69999
-81867.222861,53,27.752927
-88400.802076,57,27.867883
-458757.279159,289,28.188687
-168075.917978,104,28.285338
-199840.210248,129,28.464718
-93071.308141,60,28.52457
-59528.349663,37,28.559657
-68429.173737,44,28.605337
-76668.499989,46,28.652322
-151016.26142,93,28.791436
-65433.712041,40,28.833649
-213950.851623,134,28.95786
-58783.149619,37,29.0541
-143505.665157,90,29.141357
-161770.953401,103,29.236234
-15684.349684,10,29.251207
-42734.025997,26,29.27791
-146444.323671,91,29.418575
-94239.759645,59,29.47209
-69792.095796,43,29.514837
-59985.151911,39,29.555207
-35529.277752,22,29.580254
-229357.726822,149,29.764761
-53675.853579,32,29.797181
-28681.409406,18,29.816958
-239153.62437,150,29.99863
-195221.511733,126,30.108391
-70206.788106,44,30.148788
-82296.768452,51,30.250651
-125178.357598,77,30.325522
-111488.750278,72,30.391683
-36705.944476,23,30.414443
-138601.246895,88,30.556015
-82442.412403,54,30.609804
-107543.377517,69,30.674694
-20346.56649,14,30.691583
-48797.036501,29,30.718403
-93580.88479,59,30.828017
-56524.501834,36,30.861673
-58479.345069,36,30.895174
-31482.646539,22,30.917816
-79515.302119,50,30.964545
-147169.065469,95,31.051562
-231861.288894,147,31.237555
-26258.62612,18,31.258916
-84855.08592,55,31.309662
-105365.489805,68,31.422603
-57508.477614,36,31.45764
-151803.447528,96,31.547233
-124422.47705,78,31.62143
-30156.839667,19,31.702861
-311139.362019,200,31.883411
-112569.892995,70,32.004699
-87456.712875,54,32.055374
-222524.968976,141,32.180823
-18580.430047,12,32.195852
-118834.095658,77,32.321091
-28233.172305,18,32.339306
-87134.475137,56,32.388487
-262601.36094,165,32.584627
-82057.481216,55,32.634238
-109236.026782,69,32.695613
-62030.880484,37,32.730581
-92197.397068,59,32.785112
-74158.401253,49,32.885308
-57502.193019,37,32.921888
-130940.87421,83,32.997855
-157869.741554,101,33.142199
-91759.068743,59,33.195947
-278609.989601,174,33.351638
-84267.824106,54,33.454699
-42764.856828,27,33.478141
-209158.601916,132,33.59571
-107404.129628,67,33.705027
-84100.857812,55,33.756036
-109650.961683,70,33.818373
-55615.165879,36,33.853021
-119591.797219,76,33.923434
-46134.238801,29,34.004243
-15855.998777,10,34.01649
-84080.483613,57,34.071121
-24973.245081,15,34.086636
-90058.314702,57,34.137673
-86386.089301,53,34.182921
-34571.124994,22,34.204937
-33744.692,23,34.228671
-180890.147846,113,34.381936
-68972.315959,43,34.423748
-113387.843384,72,34.488718
-28264.796543,18,34.508192
-50032.212224,32,34.591186
-31452.840492,20,34.610724
-37931.143932,23,34.635391
-102195.233021,64,34.695932
-41755.988589,26,34.722988
-99519.311482,62,34.774997
-52000.081813,32,34.806215
-130603.170741,82,34.931682
-11196.787486,7,34.941633
-54017.091472,35,34.977978
-96612.650057,62,35.036431
-163259.182454,102,35.176547
-60206.517839,37,35.212389
-103995.864235,66,35.272906
-82710.728492,53,35.319631
-67182.346587,44,35.365803
-196305.92919,124,35.526011
-50807.600542,32,35.557835
-82982.842905,51,35.605466
-90207.746348,56,35.656222
-47117.63973,30,35.736677
-183952.809411,116,35.835764
-67624.718141,44,35.880029
-109819.134162,72,35.946151
-77775.282701,48,36.045219
-168747.218781,106,36.141264
-34215.291815,22,36.164949
-61298.977383,40,36.201704
-49720.282106,32,36.229531
-55996.20581,35,36.315441
-26545.247717,17,36.333088
-95120.734495,62,36.392171
-22681.03337,15,36.407137
-203512.19692,125,36.51716
-41117.458597,26,36.543076
-369538.859341,234,36.801677
-101106.238038,66,36.916966
-374793.738591,230,37.168716
-265738.935425,169,37.316125
-93015.811774,58,37.370155
-56479.483332,38,37.459431
-86951.622151,57,37.515268
-33575.883089,20,37.536427
-171596.551166,109,37.630531
-81766.362604,50,37.731203
-37829.183648,24,37.755096
-137663.484639,86,37.828114
-66472.947028,42,37.868874
-31439.331116,19,37.889334
-28960.613935,18,37.91046
-47743.252538,29,37.942161
-118371.728114,74,38.059437
-101500.078337,64,38.11812
-258622.044873,166,38.315136
-15667.289418,11,38.328137
-30961.771152,20,38.355291
-179894.907078,112,38.45114
-75468.584064,47,38.49565
-47721.279952,30,38.522947
