#{"t_start": 1702283499.671242, "env_id": "ContactProcess"}
r,l,t
-134945.838616,85,0.878026
-96875.506682,64,0.941154
-89967.955611,56,0.991726
-318583.182822,201,1.255881
-59984.235273,38,1.291293
-364574.827758,227,1.553527
-176026.284074,110,1.717163
-102669.495028,64,1.778675
-130750.069692,82,1.85167
-237916.154507,153,2.040026
-84472.17901,54,2.089954
-78170.374605,49,2.137401
-341794.832381,220,2.395239
-294711.943034,189,2.633227
-19794.395364,13,2.648916
-44186.588766,27,2.686554
-62985.914173,41,2.740678
-227433.535177,146,2.936275
-92673.497552,58,2.991776
-369270.448729,235,3.256047
-61169.04477,41,3.298426
-92051.8175,57,3.351933
-288215.155757,182,3.571004
-185537.662151,116,3.674306
-165136.652688,103,3.83301
-134452.535236,83,3.907355
-255100.648113,155,4.092703
-56083.264393,35,4.125903
-124474.075259,77,4.189498
-121149.927326,75,4.251083
-115758.218542,73,4.369561
-295904.544741,186,4.531937
-125758.899344,79,4.663732
-232509.843351,146,4.794982
-29291.659273,18,4.814607
-80079.267977,49,4.925967
-87378.70276,57,4.984292
-308481.12707,197,5.228991
-49480.09898,32,5.264244
-128047.647572,81,5.340462
-32789.815089,20,5.361523
-72476.201798,48,5.413666
-26294.207358,16,5.430649
-105266.06471,66,5.552892
-52978.172925,33,5.588474
-40693.061648,24,5.61842
-198830.409473,124,5.732009
-91974.926235,58,5.787745
-41285.326607,27,5.874566
-128851.753383,79,5.949891
-116062.958526,73,6.022081
-65581.610661,41,6.064233
-49189.402299,31,6.099937
-18292.375145,11,6.12067
-349789.481114,220,6.404546
-37988.757134,24,6.434257
-40185.527277,25,6.520634
-389560.264442,246,6.744789
-15798.942647,10,6.82096
-61577.987712,38,6.862506
-47089.520035,31,6.895301
-75386.249031,47,6.940957
-55285.591486,33,6.977526
-230729.587322,147,7.18563
-26290.346617,16,7.204622
-168158.518018,106,7.307548
-41095.350597,26,7.334832
-65373.683818,40,7.378849
-185041.538488,118,7.55248
-212028.7129,134,7.678789
-222831.987904,140,7.895709
-105754.378729,68,7.957919
-126046.016334,78,8.097024
-74375.449477,47,8.141925
-53383.540801,33,8.174819
-110246.473405,69,8.239214
-35492.618532,24,8.263298
-33190.050953,23,8.284922
-75573.968426,49,8.33544
-79972.58997,48,8.439739
-44182.906291,28,8.468744
-83077.996834,52,8.520967
-255512.088898,162,8.733317
-176742.667295,113,8.83423
-22597.813165,14,8.853436
-57878.90385,37,8.888202
-57088.425349,35,8.924344
-280895.718756,180,9.150407
-78776.244019,49,9.199156
-159640.782682,101,9.358429
-108369.83512,70,9.424166
-262011.639991,160,9.628394
-289912.74163,180,9.79049
-84170.332165,52,9.841606
-33790.052706,21,9.93087
-82969.554788,50,9.978804
-272784.549022,169,10.126387
-85465.67166,55,10.234966
-103466.484914,69,10.301232
-233220.329284,150,10.44146
-109173.271068,70,10.56417
-117859.08103,72,10.627694
-97364.921996,61,10.687785
-74673.622778,48,10.737973
-99366.983176,60,10.848754
-104250.437713,63,10.905976
-40485.299749,26,10.931931
-58288.343057,37,10.970606
-100966.230686,65,11.034525
-199838.321026,126,11.200182
-110859.718902,71,11.259721
-69070.575319,44,11.298198
-31785.604811,21,11.320799
-29092.026804,18,11.394376
-276515.441628,173,11.54575
-84476.119087,51,11.59366
-50393.884271,32,11.682096
-166247.883091,103,11.777945
-428349.319302,273,12.082994
-66974.264223,43,12.128125
-197234.997415,124,12.321884
-43989.508113,27,12.35498
-339453.440014,214,12.598362
-78368.400761,50,12.647417
-96968.02754,61,12.700684
-327984.704117,208,12.978584
-114348.916738,74,13.047573
-80881.14731,50,13.09687
-411050.437924,264,13.395058
-187229.0684,118,13.562309
-45784.80858,29,13.593467
-45283.57079,27,13.623075
-76378.667649,48,13.669762
-76372.69741,47,13.716127
-146145.410834,93,13.854447
-155637.993227,98,13.939751
-210546.119682,133,14.114234
-43291.868286,25,14.140092
-154258.974131,97,14.226254
