#{"t_start": 1702284563.918493, "env_id": "ContactProcess"}
r,l,t
-60476.463067,41,11.254164
-25996.69385,19,11.275329
-26495.944388,19,11.29504
-10799.032154,7,11.302608
-49389.774078,31,11.332073
-58693.068026,38,11.372865
-42986.81356,28,11.399772
-57688.213026,40,11.450514
-41589.896903,27,11.480146
-14099.951128,9,11.491133
-115472.589312,75,11.558934
-63688.536286,41,11.597067
-10999.998973,7,11.605754
-24895.737712,16,11.624515
-46193.974304,31,11.652293
-121359.752576,80,11.729054
-77678.024975,51,11.782262
-41197.949745,27,11.812947
-87376.823872,57,11.869106
-34693.576963,24,11.890948
-57484.794974,38,11.924849
-38687.6026,27,11.96081
-104571.801661,69,12.021393
-25996.359203,18,12.039846
-53387.21843,33,12.070732
-235440.665541,156,12.212015
-49794.566106,33,12.246739
-48393.193633,32,12.279264
-65385.433352,42,12.319229
-34192.086283,23,12.343605
-39290.974693,25,12.367467
-33792.357298,21,12.388176
-35299.202272,22,12.412187
-77581.679665,52,12.465118
-78284.225397,51,12.517585
-49986.17453,33,12.554019
-34195.784766,22,12.575644
-30487.361946,20,12.597968
-63091.3654,40,12.636884
-30690.772943,20,12.65878
-53880.474302,35,12.697169
-34393.209769,24,12.719862
-28593.45001,18,12.740463
-126169.879858,83,12.817394
-69980.607744,45,12.858792
-117765.082201,76,12.927844
-71288.810207,46,12.978666
-77467.361512,52,13.031954
-42687.864697,27,13.058849
-20097.546328,13,13.075059
-123855.478506,81,13.150491
-48792.112699,31,13.179958
-30288.386476,21,13.205231
-126170.283888,84,13.285509
-29590.91617,19,13.306805
-171861.482188,112,13.405888
-78780.494929,52,13.463503
-90075.178981,60,13.519042
-48088.608811,32,13.550265
-22990.17438,14,13.569822
-46197.524945,30,13.604318
-34488.273337,21,13.62722
-82583.145468,54,13.678625
-38890.696487,27,13.70702
-16995.830358,11,13.725752
-65683.233444,44,13.771252
-33495.820861,23,13.794508
-79174.098928,50,13.839562
-19799.85038,12,13.85435
-46693.489862,30,13.887145
-67375.94832,45,13.932061
-65081.376714,43,13.98024
-42285.591107,28,14.00885
-42094.741595,27,14.035928
-36295.387599,24,14.062326
-57682.519073,38,14.099012
-30788.37363,21,14.124091
-65591.985888,44,14.167417
-55487.822149,37,14.208093
-26998.862851,17,14.230005
-50586.134638,33,14.269261
-167665.3385,109,14.370742
-110972.007984,77,14.443864
-80691.771169,52,14.49828
-45795.387103,29,14.530998
-112479.968654,74,14.603867
-38388.549348,25,14.632076
-116069.156633,77,14.704632
-17598.868083,12,14.718542
-83886.432294,54,14.774019
-61190.838728,40,14.812037
-66686.865311,43,14.852395
-42386.820429,28,14.88172
-122666.417323,79,14.958726
-53590.376962,35,14.994629
-43595.631922,28,15.030694
-64985.648159,44,15.077303
-128760.294558,87,15.159834
-42488.291237,28,15.190575
-24991.872841,15,15.208279
-75386.355534,48,15.255287
-47482.936121,31,15.290528
-80382.655425,52,15.341239
-15295.986015,10,15.353658
-57286.963074,39,15.391367
-49886.687888,34,15.426042
-12099.890255,8,15.437647
-9499.175418,6,15.444949
-62388.793833,41,15.4836
-57084.577961,38,15.521992
-30190.189961,19,15.542887
-12600.000699,8,15.555823
-71582.513537,46,15.605976
-39995.831845,26,15.633008
-52682.71123,35,15.668979
-24398.470546,16,15.687396
-34193.025938,22,15.710577
-180355.809494,120,15.834677
-27296.429846,18,15.854683
-29594.497443,20,15.875605
-23498.504852,15,15.893622
-41989.410899,28,15.92541
-25292.429054,16,15.942895
-41194.040757,27,15.972684
-26697.7394,17,15.991729
-46492.178857,32,16.024493
-64281.164887,44,16.068574
-30498.167953,19,16.090188
-24594.599261,16,16.114634
-42292.321066,27,16.140586
-53982.60974,36,16.176176
-47191.1844,31,16.208256
-49895.239811,32,16.240584
-54386.635697,36,16.278811
-20794.72008,14,16.299799
-89185.370187,58,16.361804
-17091.454319,11,16.375183
-55982.507356,36,16.415609
-56796.47315,35,16.44784
-53392.520861,33,16.47804
-64985.928106,40,16.514844
-26599.496097,16,16.530709
-114866.039957,75,16.600026
-69989.506574,46,16.649057
-60490.000034,38,16.685955
-32193.353566,21,16.712349
-18296.762537,11,16.728503
-142779.674644,93,16.817689
-80084.969351,51,16.867952
-28297.28291,18,16.891137
-24095.001727,16,16.91437
-31896.385771,21,16.943173
-101482.795606,65,17.002597
-59983.789686,37,17.042088
-18698.131905,12,17.056323
-46088.958672,32,17.086029
-28691.774576,18,17.106656
-86185.242087,55,17.160121
-35985.409861,24,17.190266
-78086.50162,53,17.240519
-23295.864223,16,17.257343
-112557.214402,74,17.321578
-78281.63462,53,17.371378
-38291.117254,24,17.398883
-33892.408877,23,17.428501
-88581.722611,58,17.47845
-42491.350964,28,17.502854
-46189.480144,33,17.539545
-48593.515928,31,17.570872
-24396.787453,16,17.589438
-33794.689847,21,17.61179
-101178.878555,68,17.678867
-63984.471315,39,17.711703
-74790.309838,48,17.755776
-49185.58885,33,17.790554
-112673.912065,74,17.856201
-54494.374121,35,17.889446
-29496.382425,19,17.913621
-19692.57142,14,17.927537
-48594.991031,30,17.95685
-63181.870321,42,18.005758
-77572.667518,50,18.053746
-32396.577591,21,18.076268
-89083.423516,60,18.136443
